"","Predator","Predator_Size","Median_N","Max_N","Min_N","name"
"1","Active Cephs",0.01,6.27593720775069e-05,0.000120144594899168,4.66946425703026e-05,"High Activity"
"2","Active Cephs",0.0125892541179417,7.47810934418273e-05,0.000138251067848936,5.67168199090491e-05,"High Activity"
"3","Active Cephs",0.0158489319246111,8.93511784408389e-05,0.000160231365534818,6.89285573972349e-05,"High Activity"
"4","Active Cephs",0.0199526231496888,0.000106947552283087,0.000187033201656614,8.33264121979659e-05,"High Activity"
"5","Active Cephs",0.0251188643150958,0.000127911752946098,0.000220056140901434,0.000100047941357983,"High Activity"
"6","Active Cephs",0.0316227766016838,0.000152632839559636,0.000261353550444796,0.000119742144579039,"High Activity"
"7","Active Cephs",0.0398107170553497,0.000182584597127323,0.00031388759576666,0.000143276855829034,"High Activity"
"8","Active Cephs",0.0501187233627271,0.000219555351909183,0.00038169341383733,0.000171907107209758,"High Activity"
"9","Active Cephs",0.0630957344480194,0.000266106479704219,0.000469927813364727,0.000207326662694282,"High Activity"
"10","Active Cephs",0.0794328234724282,0.000325589673194507,0.000584899742556323,0.000250423086492859,"High Activity"
"11","Active Cephs",0.1,0.000400066327239541,0.000734281783141105,0.000303200145459243,"High Activity"
"12","Active Cephs",0.125892541179417,0.000495333372279954,0.000927639328322618,0.000368733744800572,"High Activity"
"13","Active Cephs",0.158489319246111,0.000612742889474404,0.00117714283204392,0.000447579346112888,"High Activity"
"14","Active Cephs",0.199526231496888,0.00075250840160642,0.00149821315891068,0.000542471057478451,"High Activity"
"15","Active Cephs",0.251188643150958,0.000916875093731108,0.0019103913833651,0.000654477754283,"High Activity"
"16","Active Cephs",0.316227766016838,0.00111539545679862,0.0024395762048708,0.000784694191490489,"High Activity"
"17","Active Cephs",0.398107170553497,0.00134683131565588,0.00312261701886343,0.00093275690484715,"High Activity"
"18","Active Cephs",0.501187233627271,0.00163641247911073,0.00401381999882901,0.00110547438734604,"High Activity"
"19","Active Cephs",0.630957344480194,0.00199551347312198,0.00519206566847314,0.00131350595857757,"High Activity"
"20","Active Cephs",0.794328234724282,0.00244945149031702,0.00676803104382443,0.00157347831435712,"High Activity"
"21","Active Cephs",1,0.00306379380988396,0.00889209764598987,0.0019081405293277,"High Activity"
"22","Active Cephs",1.25892541179417,0.00388440871783958,0.0117903373899919,0.00234892067758758,"High Activity"
"23","Active Cephs",1.58489319246111,0.00500175648884109,0.0157224788333079,0.00294284544911089,"High Activity"
"24","Active Cephs",1.99526231496888,0.00652695873985465,0.021020607705407,0.00375024155663437,"High Activity"
"25","Active Cephs",2.51188643150958,0.00861418820380532,0.0281120067472476,0.00485319287270677,"High Activity"
"26","Active Cephs",3.16227766016838,0.0114538878966773,0.0375254493871549,0.00636152207853954,"High Activity"
"27","Active Cephs",3.98107170553497,0.0153004122010936,0.0499044065025012,0.00840690654788212,"High Activity"
"28","Active Cephs",5.01187233627271,0.0204766765732036,0.0660196741204116,0.0111867501665865,"High Activity"
"29","Active Cephs",6.30957344480194,0.0274014322486602,0.0867816846177823,0.0149439036232197,"High Activity"
"30","Active Cephs",7.94328234724282,0.036620953902497,0.113253308353947,0.0199890394210276,"High Activity"
"31","Active Cephs",10,0.048753692208152,0.146664705443559,0.0267157805093202,"High Activity"
"32","Active Cephs",12.5892541179417,0.0645732793703583,0.188432851546092,0.0356176804615468,"High Activity"
"33","Active Cephs",15.8489319246111,0.0848070572838653,0.240189732755683,0.0473067377460386,"High Activity"
"34","Active Cephs",19.9526231496888,0.1105427890457,0.304261169490042,0.0625329984113485,"High Activity"
"35","Active Cephs",25.1188643150958,0.143100610755405,0.382612915069168,0.08220443728471,"High Activity"
"36","Active Cephs",31.6227766016838,0.184242701437093,0.477737938500069,0.107288486107265,"High Activity"
"37","Active Cephs",39.8107170553497,0.235577781206099,0.592707880765235,0.139096517311808,"High Activity"
"38","Active Cephs",50.1187233627271,0.299007660425466,0.73127313081643,0.179132902097936,"High Activity"
"39","Active Cephs",63.0957344480194,0.376818885324458,0.898151929884508,0.229127490402388,"High Activity"
"40","Active Cephs",79.4328234724282,0.47141438589026,1.10224970246021,0.291095560404787,"High Activity"
"41","Active Cephs",100,0.587032266893599,1.34938868244377,0.367399831965932,"High Activity"
"42","Active Cephs",125.892541179417,0.725913438404879,1.65054486369723,0.460798594786727,"High Activity"
"43","Active Cephs",158.489319246111,0.893742056764911,2.01931398849817,0.574216906714415,"High Activity"
"44","Active Cephs",199.526231496888,1.09809969998336,2.47212037238755,0.71186387551641,"High Activity"
"45","Active Cephs",251.188643150958,1.34588294332069,3.03092446067259,0.879184578052109,"High Activity"
"46","Active Cephs",316.227766016838,1.64750640213564,3.72412983554378,1.08268537905736,"High Activity"
"47","Active Cephs",398.107170553497,2.015982983567,4.58850200365156,1.32879330192484,"High Activity"
"48","Active Cephs",501.187233627271,2.46813856772153,5.67164632754931,1.62722146022027,"High Activity"
"49","Active Cephs",630.957344480194,3.02578605771931,7.03519765448265,1.987974835179,"High Activity"
"50","Active Cephs",794.328234724282,3.71718047418448,8.75890743581594,2.4299377703159,"High Activity"
"51","Active Cephs",1000,4.5783891381617,10.9458508235783,2.97434606816493,"High Activity"
