Model,Metric,Group,Level,Value,Variant
Feeding + Growth,Community CV,,Community,7.60257,v12
Feeding + Growth,Mean FG CV,,Community,24.821282,v12
Feeding + Growth,Mean P:B,NA,Community,0.23971379,v12
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000875702,v13
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.001324942,v13
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033433495,v13
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035408469,v13
Feeding + Growth,Total Biomass (g m3),,Community,0.071042608,v13
Feeding + Growth,P:B,Active,Func Group,0.12887558,v13
Feeding + Growth,P:B,Inactive,Func Group,0.13146054,v13
Feeding + Growth,P:B,Fish,Func Group,0.07899012,v13
Feeding + Growth,P:B,Zoo,Func Group,0.64127806,v13
Feeding + Growth,CV,Active,Func Group,43.3983,v13
Feeding + Growth,CV,Inactive,Func Group,69.8244,v13
Feeding + Growth,CV,Fish,Func Group,5.55568,v13
Feeding + Growth,CV,Zoo,Func Group,20.3777,v13
Feeding + Growth,Community CV,,Community,8.17527,v13
Feeding + Growth,Mean FG CV,,Community,29.46627,v13
Feeding + Growth,Mean P:B,NA,Community,0.245151075,v13
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000869893,v14
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.001813095,v14
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033356917,v14
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035264959,v14
Feeding + Growth,Total Biomass (g m3),,Community,0.071304864,v14
Feeding + Growth,P:B,Active,Func Group,0.12787208,v14
Feeding + Growth,P:B,Inactive,Func Group,0.11622288,v14
Feeding + Growth,P:B,Fish,Func Group,0.07895254,v14
Feeding + Growth,P:B,Zoo,Func Group,0.64297478,v14
Feeding + Growth,CV,Active,Func Group,42.9039,v14
Feeding + Growth,CV,Inactive,Func Group,55.3468,v14
Feeding + Growth,CV,Fish,Func Group,5.52753,v14
Feeding + Growth,CV,Zoo,Func Group,20.1076,v14
Feeding + Growth,Community CV,,Community,8.02303,v14
