Model,Metric,Group,Level,Value,Variant
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.001894573,v8
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033312341,v8
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.03516733,v8
Feeding + Growth,Total Biomass (g m3),,Community,0.071432765,v8
Feeding + Growth,P:B,Active,Func Group,0.11953523,v8
Feeding + Growth,P:B,Inactive,Func Group,0.11563278,v8
Feeding + Growth,P:B,Fish,Func Group,0.07904662,v8
Feeding + Growth,P:B,Zoo,Func Group,0.64312819,v8
Feeding + Growth,CV,Active,Func Group,35.8103,v8
Feeding + Growth,CV,Inactive,Func Group,55.441,v8
Feeding + Growth,CV,Fish,Func Group,5.61665,v8
Feeding + Growth,CV,Zoo,Func Group,20.3417,v8
Feeding + Growth,Community CV,,Community,8.08975,v8
Feeding + Growth,Mean FG CV,,Community,29.3024125,v8
Feeding + Growth,Mean P:B,NA,Community,0.239335705,v8
Feeding + Growth,Biomass (g m3),Active,Func Group,0.001038133,v9
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.002697883,v9
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033161026,v9
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.034997123,v9
Feeding + Growth,Total Biomass (g m3),,Community,0.071894165,v9
Feeding + Growth,P:B,Active,Func Group,0.11890076,v9
Feeding + Growth,P:B,Inactive,Func Group,0.09618175,v9
Feeding + Growth,P:B,Fish,Func Group,0.07914778,v9
Feeding + Growth,P:B,Zoo,Func Group,0.6469497,v9
Feeding + Growth,CV,Active,Func Group,35.3209,v9
Feeding + Growth,CV,Inactive,Func Group,37.95,v9
Feeding + Growth,CV,Fish,Func Group,5.37425,v9
Feeding + Growth,CV,Zoo,Func Group,19.5724,v9
Feeding + Growth,Community CV,,Community,7.71342,v9
Feeding + Growth,Mean FG CV,,Community,24.5543875,v9
Feeding + Growth,Mean P:B,NA,Community,0.235294998,v9
Control,Production,Active,Func Group,0.000493799,v1
Control,Production,Inactive,Func Group,0.000493799,v1
Control,Production,Fish,Func Group,0.002177794,v1
Control,Production,Zoo,Func Group,0.02455726,v1
Control,Production,Active,Func Group,0.000445312,v2
Control,Production,Inactive,Func Group,0.000445312,v2
Control,Production,Fish,Func Group,0.002183693,v2
Control,Production,Zoo,Func Group,0.02441436,v2
Control,Production,Active,Func Group,0.00039719,v3
Control,Production,Inactive,Func Group,0.00039719,v3
Control,Production,Fish,Func Group,0.002190534,v3
Control,Production,Zoo,Func Group,0.024239998,v3
Feeding + Growth,Production,Active,Func Group,0.000118705,v1
Feeding + Growth,Production,Inactive,Func Group,0.000184849,v1
Feeding + Growth,Production,Fish,Func Group,0.002629917,v1
Feeding + Growth,Production,Zoo,Func Group,0.02275206,v1
Feeding + Growth,Production,Active,Func Group,0.000108194,v10
Feeding + Growth,Production,Inactive,Func Group,0.000176367,v10
Feeding + Growth,Production,Fish,Func Group,0.002630701,v10
Feeding + Growth,Production,Zoo,Func Group,0.022742678,v10
Feeding + Growth,Production,Active,Func Group,0.000107321,v11
Feeding + Growth,Production,Inactive,Func Group,0.00021302,v11
Feeding + Growth,Production,Fish,Func Group,0.002623446,v11
Feeding + Growth,Production,Zoo,Func Group,0.022714697,v11
Feeding + Growth,Production,Active,Func Group,0.000105769,v12
Feeding + Growth,Production,Inactive,Func Group,0.000249289,v12
Feeding + Growth,Production,Fish,Func Group,0.00261775,v12
Feeding + Growth,Production,Zoo,Func Group,0.022667453,v12
Feeding + Growth,Production,Active,Func Group,0.000112857,v13
Feeding + Growth,Production,Inactive,Func Group,0.000174178,v13
Feeding + Growth,Production,Fish,Func Group,0.002640916,v13
Feeding + Growth,Production,Zoo,Func Group,0.022706674,v13
Feeding + Growth,Production,Active,Func Group,0.000111235,v14
Feeding + Growth,Production,Inactive,Func Group,0.000210723,v14
Feeding + Growth,Production,Fish,Func Group,0.002633613,v14
Feeding + Growth,Production,Zoo,Func Group,0.022674479,v14
Feeding + Growth,Production,Active,Func Group,0.000109003,v15
Feeding + Growth,Production,Inactive,Func Group,0.000248235,v15
Feeding + Growth,Production,Fish,Func Group,0.002626566,v15
Feeding + Growth,Production,Zoo,Func Group,0.022691724,v15
Feeding + Growth,Production,Active,Func Group,0.000117485,v16
Feeding + Growth,Production,Inactive,Func Group,0.000171802,v16
Feeding + Growth,Production,Fish,Func Group,0.002644636,v16
Feeding + Growth,Production,Zoo,Func Group,0.022681,v16
Feeding + Growth,Production,Active,Func Group,0.000115572,v17
Feeding + Growth,Production,Inactive,Func Group,0.000206937,v17
Feeding + Growth,Production,Fish,Func Group,0.002634757,v17
Feeding + Growth,Production,Zoo,Func Group,0.022636472,v17
Feeding + Growth,Production,Active,Func Group,0.000112937,v18
Feeding + Growth,Production,Inactive,Func Group,0.00024407,v18
Feeding + Growth,Production,Fish,Func Group,0.002626839,v18
Feeding + Growth,Production,Zoo,Func Group,0.022653562,v18
Feeding + Growth,Production,Active,Func Group,9.7484E-05,v19
Feeding + Growth,Production,Inactive,Func Group,0.000166684,v19
Feeding + Growth,Production,Fish,Func Group,0.002633502,v19
Feeding + Growth,Production,Zoo,Func Group,0.022737815,v19
Feeding + Growth,Production,Active,Func Group,0.000117872,v2
Feeding + Growth,Production,Inactive,Func Group,0.00022385,v2
Feeding + Growth,Production,Fish,Func Group,0.002624718,v2
Feeding + Growth,Production,Zoo,Func Group,0.022676405,v2
Feeding + Growth,Production,Active,Func Group,9.66E-05,v20
Feeding + Growth,Production,Inactive,Func Group,0.000200733,v20
Feeding + Growth,Production,Fish,Func Group,0.002624036,v20
Feeding + Growth,Production,Zoo,Func Group,0.022717405,v20
Feeding + Growth,Production,Active,Func Group,9.5349E-05,v21
Feeding + Growth,Production,Inactive,Func Group,0.000233834,v21
Feeding + Growth,Production,Fish,Func Group,0.002618274,v21
Feeding + Growth,Production,Zoo,Func Group,0.022701705,v21
Feeding + Growth,Production,Active,Func Group,0.000101824,v22
Feeding + Growth,Production,Inactive,Func Group,0.000163923,v22
Feeding + Growth,Production,Fish,Func Group,0.002645312,v22
Feeding + Growth,Production,Zoo,Func Group,0.022720281,v22
Feeding + Growth,Production,Active,Func Group,0.000100498,v23
Feeding + Growth,Production,Inactive,Func Group,0.000197632,v23
Feeding + Growth,Production,Fish,Func Group,0.002635381,v23
Feeding + Growth,Production,Zoo,Func Group,0.022663976,v23
Feeding + Growth,Production,Active,Func Group,9.85981E-05,v24
Feeding + Growth,Production,Inactive,Func Group,0.000231504,v24
Feeding + Growth,Production,Fish,Func Group,0.002628736,v24
Feeding + Growth,Production,Zoo,Func Group,0.022691607,v24
Feeding + Growth,Production,Active,Func Group,0.000106056,v25
Feeding + Growth,Production,Inactive,Func Group,0.000161319,v25
Feeding + Growth,Production,Fish,Func Group,0.002648107,v25
Feeding + Growth,Production,Zoo,Func Group,0.022720087,v25
Feeding + Growth,Production,Active,Func Group,0.000104554,v26
Feeding + Growth,Production,Inactive,Func Group,0.000194339,v26
Feeding + Growth,Production,Fish,Func Group,0.00264121,v26
Feeding + Growth,Production,Zoo,Func Group,0.022640244,v26
Feeding + Growth,Production,Active,Func Group,0.000102165,v27
Feeding + Growth,Production,Inactive,Func Group,0.000227077,v27
Feeding + Growth,Production,Fish,Func Group,0.002631584,v27
Feeding + Growth,Production,Zoo,Func Group,0.022648811,v27
Feeding + Growth,Production,Active,Func Group,0.000116018,v3
Feeding + Growth,Production,Inactive,Func Group,0.000263048,v3
Feeding + Growth,Production,Fish,Func Group,0.002615148,v3
Feeding + Growth,Production,Zoo,Func Group,0.022616599,v3
Feeding + Growth,Production,Active,Func Group,0.000123739,v4
Feeding + Growth,Production,Inactive,Func Group,0.000183777,v4
Feeding + Growth,Production,Fish,Func Group,0.002640606,v4
Feeding + Growth,Production,Zoo,Func Group,0.022696434,v4
Feeding + Growth,Production,Active,Func Group,0.000121782,v5
Feeding + Growth,Production,Inactive,Func Group,0.000222448,v5
Feeding + Growth,Production,Fish,Func Group,0.002630545,v5
Feeding + Growth,Production,Zoo,Func Group,0.022680782,v5
Feeding + Growth,Production,Active,Func Group,0.000119211,v6
Feeding + Growth,Production,Inactive,Func Group,0.000263724,v6
Feeding + Growth,Production,Fish,Func Group,0.002624585,v6
Feeding + Growth,Production,Zoo,Func Group,0.022654361,v6
Feeding + Growth,Production,Active,Func Group,0.00012888,v7
Feeding + Growth,Production,Inactive,Func Group,0.000181508,v7
Feeding + Growth,Production,Fish,Func Group,0.002642728,v7
Feeding + Growth,Production,Zoo,Func Group,0.022665917,v7
Feeding + Growth,Production,Active,Func Group,0.000126531,v8
Feeding + Growth,Production,Inactive,Func Group,0.000219075,v8
Feeding + Growth,Production,Fish,Func Group,0.002633228,v8
Feeding + Growth,Production,Zoo,Func Group,0.022617101,v8
Feeding + Growth,Production,Active,Func Group,0.000123435,v9
Feeding + Growth,Production,Inactive,Func Group,0.000259487,v9
Feeding + Growth,Production,Fish,Func Group,0.002624622,v9
Feeding + Growth,Production,Zoo,Func Group,0.022641378,v9
Feeding + Growth,Production,NA,Community,0.02568553,v1
Feeding + Growth,Production,NA,Community,0.02565794,v10
Feeding + Growth,Production,NA,Community,0.025658484,v11
Feeding + Growth,Production,NA,Community,0.025640262,v12
Feeding + Growth,Production,NA,Community,0.025634624,v13
Feeding + Growth,Production,NA,Community,0.025630051,v14
Feeding + Growth,Production,NA,Community,0.025675528,v15
Feeding + Growth,Production,NA,Community,0.025614923,v16
Feeding + Growth,Production,NA,Community,0.025593738,v17
Feeding + Growth,Production,NA,Community,0.025637409,v18
Feeding + Growth,Production,NA,Community,0.025635485,v19
Feeding + Growth,Production,NA,Community,0.025642845,v2
Feeding + Growth,Production,NA,Community,0.025638773,v20
Feeding + Growth,Production,NA,Community,0.025649161,v21
Feeding + Growth,Production,NA,Community,0.02563134,v22
Feeding + Growth,Production,NA,Community,0.025597487,v23
Feeding + Growth,Production,NA,Community,0.025650446,v24
Feeding + Growth,Production,NA,Community,0.025635569,v25
Feeding + Growth,Production,NA,Community,0.025580347,v26
Feeding + Growth,Production,NA,Community,0.025609636,v27
Feeding + Growth,Production,NA,Community,0.025610814,v3
Feeding + Growth,Production,NA,Community,0.025644555,v4
Feeding + Growth,Production,NA,Community,0.025655557,v5
Feeding + Growth,Production,NA,Community,0.02566188,v6
Feeding + Growth,Production,NA,Community,0.025619033,v7
Feeding + Growth,Production,NA,Community,0.025595935,v8
Feeding + Growth,Production,NA,Community,0.025648922,v9
Control,Production,NA,Community,0.027722651,v1
Control,Production,NA,Community,0.027488678,v2
Control,Production,NA,Community,0.027224911,v3
Feeding + Growth,Turnover_Time,NA,Community,4.025598945,v1
Feeding + Growth,Turnover_Time,NA,Community,4.028095523,v10
Feeding + Growth,Turnover_Time,NA,Community,4.089647277,v11
Feeding + Growth,Turnover_Time,NA,Community,4.171641523,v12
Feeding + Growth,Turnover_Time,NA,Community,4.079117336,v13
Feeding + Growth,Turnover_Time,NA,Community,4.140691248,v14
Feeding + Growth,Turnover_Time,NA,Community,4.217874475,v15
Feeding + Growth,Turnover_Time,NA,Community,4.114157207,v16
Feeding + Growth,Turnover_Time,NA,Community,4.180600303,v17
Feeding + Growth,Turnover_Time,NA,Community,4.257455848,v18
Feeding + Growth,Turnover_Time,NA,Community,4.030832929,v19
Feeding + Growth,Turnover_Time,NA,Community,4.084089525,v2
Feeding + Growth,Turnover_Time,NA,Community,4.096003355,v20
Feeding + Growth,Turnover_Time,NA,Community,4.178570325,v21
Feeding + Growth,Turnover_Time,NA,Community,4.076257774,v22
Feeding + Growth,Turnover_Time,NA,Community,4.146841739,v23
Feeding + Growth,Turnover_Time,NA,Community,4.225900096,v24
Feeding + Growth,Turnover_Time,NA,Community,4.111527824,v25
Feeding + Growth,Turnover_Time,NA,Community,4.180237416,v26
Feeding + Growth,Turnover_Time,NA,Community,4.263640551,v27
Feeding + Growth,Turnover_Time,NA,Community,4.166244834,v3
Feeding + Growth,Turnover_Time,NA,Community,4.077813489,v4
Feeding + Growth,Turnover_Time,NA,Community,4.137410862,v5
Feeding + Growth,Turnover_Time,NA,Community,4.21294672,v6
Feeding + Growth,Turnover_Time,NA,Community,4.114234223,v7
Feeding + Growth,Turnover_Time,NA,Community,4.178231576,v8
Feeding + Growth,Turnover_Time,NA,Community,4.249984108,v9
Control,Turnover_Time,NA,Community,4.679494847,v1
Control,Turnover_Time,NA,Community,4.682579195,v2
Control,Turnover_Time,NA,Community,4.688425085,v3
Control,Turnover_Time,Active,Func Group,12.43807394,v1
Control,Turnover_Time,Inactive,Func Group,12.43807394,v1
Control,Turnover_Time,Fish,Func Group,11.49515927,v1
Control,Turnover_Time,Zoo,Func Group,1.647437284,v1
Control,Turnover_Time,Active,Func Group,12.73422538,v2
Control,Turnover_Time,Inactive,Func Group,12.73422538,v2
Control,Turnover_Time,Fish,Func Group,11.62554267,v2
Control,Turnover_Time,Zoo,Func Group,1.636244705,v2
Control,Turnover_Time,Active,Func Group,13.04667526,v3
Control,Turnover_Time,Inactive,Func Group,13.04667526,v3
Control,Turnover_Time,Fish,Func Group,11.76857013,v3
Control,Turnover_Time,Zoo,Func Group,1.62628834,v3
Feeding + Growth,Turnover_Time,Active,Func Group,7.234421668,v1
Feeding + Growth,Turnover_Time,Inactive,Func Group,7.490471184,v1
Feeding + Growth,Turnover_Time,Fish,Func Group,12.65887201,v1
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.555418036,v1
Feeding + Growth,Turnover_Time,Active,Func Group,7.210635572,v10
Feeding + Growth,Turnover_Time,Inactive,Func Group,7.505876726,v10
Feeding + Growth,Turnover_Time,Fish,Func Group,12.66714937,v10
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.557225434,v10
Feeding + Growth,Turnover_Time,Active,Func Group,7.267758769,v11
Feeding + Growth,Turnover_Time,Inactive,Func Group,8.486808063,v11
Feeding + Growth,Turnover_Time,Fish,Func Group,12.66449276,v11
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.553531728,v11
Feeding + Growth,Turnover_Time,Active,Func Group,7.332937355,v12
Feeding + Growth,Turnover_Time,Inactive,Func Group,10.27890683,v12
Feeding + Growth,Turnover_Time,Fish,Func Group,12.6349747,v12
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.547862637,v12
Feeding + Growth,Turnover_Time,Active,Func Group,7.759421917,v13
Feeding + Growth,Turnover_Time,Inactive,Func Group,7.60684537,v13
Feeding + Growth,Turnover_Time,Fish,Func Group,12.65981113,v13
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.559385955,v13
Feeding + Growth,Turnover_Time,Active,Func Group,7.820315428,v14
Feeding + Growth,Turnover_Time,Inactive,Func Group,8.604157804,v14
Feeding + Growth,Turnover_Time,Fish,Func Group,12.66583697,v14
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.555270955,v14
Feeding + Growth,Turnover_Time,Active,Func Group,7.880429922,v15
Feeding + Growth,Turnover_Time,Inactive,Func Group,10.39867155,v15
Feeding + Growth,Turnover_Time,Fish,Func Group,12.64296027,v15
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.547540123,v15
Feeding + Growth,Turnover_Time,Active,Func Group,8.265265429,v16
Feeding + Growth,Turnover_Time,Inactive,Func Group,7.657607538,v16
Feeding + Growth,Turnover_Time,Fish,Func Group,12.64331833,v16
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.558647,v16
Feeding + Growth,Turnover_Time,Active,Func Group,8.33168366,v17
Feeding + Growth,Turnover_Time,Inactive,Func Group,8.673898038,v17
Feeding + Growth,Turnover_Time,Fish,Func Group,12.65643832,v17
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.556475855,v17
Feeding + Growth,Turnover_Time,Active,Func Group,8.374057772,v18
Feeding + Growth,Turnover_Time,Inactive,Func Group,10.46176231,v18
Feeding + Growth,Turnover_Time,Fish,Func Group,12.64172799,v18
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.54937265,v18
Feeding + Growth,Turnover_Time,Active,Func Group,7.186433107,v19
Feeding + Growth,Turnover_Time,Inactive,Func Group,7.514506944,v19
Feeding + Growth,Turnover_Time,Fish,Func Group,12.6693769,v19
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.559592262,v19
Feeding + Growth,Turnover_Time,Active,Func Group,7.281368536,v2
Feeding + Growth,Turnover_Time,Inactive,Func Group,8.433027175,v2
Feeding + Growth,Turnover_Time,Fish,Func Group,12.64847411,v2
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.551755692,v2
Feeding + Growth,Turnover_Time,Active,Func Group,7.252750297,v20
Feeding + Growth,Turnover_Time,Inactive,Func Group,8.540048043,v20
Feeding + Growth,Turnover_Time,Fish,Func Group,12.67709104,v20
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.555923404,v20
Feeding + Growth,Turnover_Time,Active,Func Group,7.308670517,v21
Feeding + Growth,Turnover_Time,Inactive,Func Group,10.371388,v21
Feeding + Growth,Turnover_Time,Fish,Func Group,12.65162018,v21
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.550433148,v21
Feeding + Growth,Turnover_Time,Active,Func Group,7.722964296,v22
Feeding + Growth,Turnover_Time,Inactive,Func Group,7.599772858,v22
Feeding + Growth,Turnover_Time,Fish,Func Group,12.65919572,v22
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.559499401,v22
Feeding + Growth,Turnover_Time,Active,Func Group,7.787587629,v23
Feeding + Growth,Turnover_Time,Inactive,Func Group,8.634422854,v23
Feeding + Growth,Turnover_Time,Fish,Func Group,12.67010728,v23
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.55899567,v23
Feeding + Growth,Turnover_Time,Active,Func Group,7.844498814,v24
Feeding + Growth,Turnover_Time,Inactive,Func Group,10.47198931,v24
Feeding + Growth,Turnover_Time,Fish,Func Group,12.65129366,v24
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.551518401,v24
Feeding + Growth,Turnover_Time,Active,Func Group,8.232904251,v25
Feeding + Growth,Turnover_Time,Inactive,Func Group,7.650237857,v25
Feeding + Growth,Turnover_Time,Fish,Func Group,12.64720397,v25
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.558538415,v25
Feeding + Growth,Turnover_Time,Active,Func Group,8.27519252,v26
Feeding + Growth,Turnover_Time,Inactive,Func Group,8.674180184,v26
Feeding + Growth,Turnover_Time,Fish,Func Group,12.6516634,v26
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.558324955,v26
Feeding + Growth,Turnover_Time,Active,Func Group,8.332909744,v27
Feeding + Growth,Turnover_Time,Inactive,Func Group,10.53025854,v27
Feeding + Growth,Turnover_Time,Fish,Func Group,12.64350217,v27
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.552547082,v27
Feeding + Growth,Turnover_Time,Active,Func Group,7.364134661,v3
Feeding + Growth,Turnover_Time,Inactive,Func Group,10.18932271,v3
Feeding + Growth,Turnover_Time,Fish,Func Group,12.62538586,v3
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.545699048,v3
Feeding + Growth,Turnover_Time,Active,Func Group,7.781021513,v4
Feeding + Growth,Turnover_Time,Inactive,Func Group,7.590569537,v4
Feeding + Growth,Turnover_Time,Fish,Func Group,12.65793143,v4
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.558468097,v4
Feeding + Growth,Turnover_Time,Active,Func Group,7.861863906,v5
Feeding + Growth,Turnover_Time,Inactive,Func Group,8.580141092,v5
Feeding + Growth,Turnover_Time,Fish,Func Group,12.66273193,v5
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.552621928,v5
Feeding + Growth,Turnover_Time,Active,Func Group,7.920854191,v6
Feeding + Growth,Turnover_Time,Inactive,Func Group,10.3193413,v6
Feeding + Growth,Turnover_Time,Fish,Func Group,12.63530836,v6
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.545221311,v6
Feeding + Growth,Turnover_Time,Active,Func Group,8.294848692,v7
Feeding + Growth,Turnover_Time,Inactive,Func Group,7.655256252,v7
Feeding + Growth,Turnover_Time,Fish,Func Group,12.63943669,v7
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.55779985,v7
Feeding + Growth,Turnover_Time,Active,Func Group,8.36573452,v8
Feeding + Growth,Turnover_Time,Inactive,Func Group,8.648066751,v8
Feeding + Growth,Turnover_Time,Fish,Func Group,12.6507623,v8
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.554899965,v8
Feeding + Growth,Turnover_Time,Active,Func Group,8.410375173,v9
Feeding + Growth,Turnover_Time,Inactive,Func Group,10.3969828,v9
Feeding + Growth,Turnover_Time,Fish,Func Group,12.63459316,v9
Feeding + Growth,Turnover_Time,Zoo,Func Group,1.545715223,v9
Control,1/Community_CV,,Community,0.081519524,v1
Control,1/Community_CV,,Community,0.088681571,v2
Control,1/Community_CV,,Community,0.097894294,v3
Feeding + Growth,1/Community_CV,,Community,0.125647398,v1
Feeding + Growth,1/Community_CV,,Community,0.125542501,v10
Feeding + Growth,1/Community_CV,,Community,0.126419214,v11
Feeding + Growth,1/Community_CV,,Community,0.131534468,v12
Feeding + Growth,1/Community_CV,,Community,0.122320119,v13
Feeding + Growth,1/Community_CV,,Community,0.124641189,v14
Feeding + Growth,1/Community_CV,,Community,0.128600162,v15
Feeding + Growth,1/Community_CV,,Community,0.122660105,v16
Feeding + Growth,1/Community_CV,,Community,0.123054962,v17
Feeding + Growth,1/Community_CV,,Community,0.127410609,v18
Feeding + Growth,1/Community_CV,,Community,0.124995313,v19
Feeding + Growth,1/Community_CV,,Community,0.127364198,v2
Feeding + Growth,1/Community_CV,,Community,0.126263105,v20
Feeding + Growth,1/Community_CV,,Community,0.130223763,v21
Feeding + Growth,1/Community_CV,,Community,0.123981185,v22
Feeding + Growth,1/Community_CV,,Community,0.12317865,v23
Feeding + Growth,1/Community_CV,,Community,0.127274879,v24
Feeding + Growth,1/Community_CV,,Community,0.122227722,v25
Feeding + Growth,1/Community_CV,,Community,0.122640248,v26
Feeding + Growth,1/Community_CV,,Community,0.127374418,v27
Feeding + Growth,1/Community_CV,,Community,0.133308627,v3
Feeding + Growth,1/Community_CV,,Community,0.122369514,v4
Feeding + Growth,1/Community_CV,,Community,0.124356919,v5
Feeding + Growth,1/Community_CV,,Community,0.130678299,v6
Feeding + Growth,1/Community_CV,,Community,0.121913902,v7
Feeding + Growth,1/Community_CV,,Community,0.123613214,v8
Feeding + Growth,1/Community_CV,,Community,0.129644179,v9
