"","Predator","Predator_Size_Class","Predator_Size","Median_RTP","Max_RTP","Min_RTP","Func_Group"
"72","Active Cephs",72,6.30957344480193e-06,NA,NA,NA,"High Activity"
"73","Active Cephs",73,7.9432823472428e-06,NA,NA,NA,"High Activity"
"74","Active Cephs",74,1e-05,NA,NA,NA,"High Activity"
"75","Active Cephs",75,1.25892541179417e-05,NA,NA,NA,"High Activity"
"76","Active Cephs",76,1.58489319246111e-05,NA,NA,NA,"High Activity"
"77","Active Cephs",77,1.99526231496888e-05,NA,NA,NA,"High Activity"
"78","Active Cephs",78,2.51188643150958e-05,NA,NA,NA,"High Activity"
"79","Active Cephs",79,3.16227766016838e-05,NA,NA,NA,"High Activity"
"80","Active Cephs",80,3.98107170553497e-05,NA,NA,NA,"High Activity"
"81","Active Cephs",81,5.01187233627271e-05,NA,NA,NA,"High Activity"
"82","Active Cephs",82,6.30957344480192e-05,NA,NA,NA,"High Activity"
"83","Active Cephs",83,7.94328234724282e-05,NA,NA,NA,"High Activity"
"84","Active Cephs",84,1e-04,NA,NA,NA,"High Activity"
"85","Active Cephs",85,0.000125892541179417,NA,NA,NA,"High Activity"
"86","Active Cephs",86,0.000158489319246111,NA,NA,NA,"High Activity"
"87","Active Cephs",87,0.000199526231496887,NA,NA,NA,"High Activity"
"88","Active Cephs",88,0.000251188643150958,NA,NA,NA,"High Activity"
"89","Active Cephs",89,0.000316227766016838,NA,NA,NA,"High Activity"
"90","Active Cephs",90,0.000398107170553497,NA,NA,NA,"High Activity"
"91","Active Cephs",91,0.000501187233627271,NA,NA,NA,"High Activity"
"92","Active Cephs",92,0.000630957344480192,NA,NA,NA,"High Activity"
"93","Active Cephs",93,0.000794328234724282,NA,NA,NA,"High Activity"
"94","Active Cephs",94,0.001,NA,NA,NA,"High Activity"
"95","Active Cephs",95,0.00125892541179417,NA,NA,NA,"High Activity"
"96","Active Cephs",96,0.00158489319246111,NA,NA,NA,"High Activity"
"97","Active Cephs",97,0.00199526231496888,NA,NA,NA,"High Activity"
"98","Active Cephs",98,0.00251188643150958,NA,NA,NA,"High Activity"
"99","Active Cephs",99,0.00316227766016838,NA,NA,NA,"High Activity"
"100","Active Cephs",100,0.00398107170553497,NA,NA,NA,"High Activity"
"101","Active Cephs",101,0.00501187233627272,NA,NA,NA,"High Activity"
"102","Active Cephs",102,0.00630957344480194,NA,NA,NA,"High Activity"
"103","Active Cephs",103,0.00794328234724282,NA,NA,NA,"High Activity"
